#	schemaVersion	1
#	repository	https://github.com/sgossner/VSCO-2-CE
#	revision	440300901dfe9275fd84e0b7763af1f8443ae62e
#	tree	0ecebcfca0c7e0fe501f71964027f8f59fa0e432
#	license	CC0-1.0
#	licensePath	LICENSE
#	licenseBlob	670154e3538863b2d9891fd5483160fbdfc89164
kind	path	source	gitBlob	sha256	license
sample	public/samples/levain/bassoon/PSBassoon_D#3_v1_1.wav	Woodwinds/Bassoon/sus/PSBassoon_D#3_v1_1.wav	f11eba53f3d278cb38b79af9d62b5b769393bbdd	b615ff978c0e61ed49eaff82178b2a3cb87398d561ac3a83355ba745529f8cc8	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_D#3_v2_1.wav	Woodwinds/Bassoon/sus/PSBassoon_D#3_v2_1.wav	567d185f861d30cde23a3843f86fc907cf130720	25b80a0a842290c24a15bde363528254bc611a556af4e517150769c253fb126b	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_D#4_v2_1.wav	Woodwinds/Bassoon/sus/PSBassoon_D#4_v2_1.wav	1302bf15411e3bc017686c9094c6bfa1563ed176	7e4bd7de6c81a2060d6d108aaa3032c4509eca9352bd182ae6fc0052e0ed1f95	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_D1_v2_rr1.wav	Woodwinds/Bassoon/stac/PSBassoon_D1_v2_rr1.wav	edaa84851385133fcfff9f5c3d34d254d4254b58	706bb57746b0a21d6aed70f277747e62f0fa044ca6e6d7695ef89e7a205cb83d	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_D1_v2_rr2.wav	Woodwinds/Bassoon/stac/PSBassoon_D1_v2_rr2.wav	428ab847a9ae70c1595a83f91063d66478187316	00a39b848c4c373d8e706689dfe6a778731497a8e2fe18be34db0690ab2c3c1c	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_E2_v1_rr1.wav	Woodwinds/Bassoon/stac/PSBassoon_E2_v1_rr1.wav	5a54606185a6f609b755606f19bdf5d85519bea7	83716ff49d0572dd83de8ab9fce8d3ac2b313a9c3dcd14d2ac94c4f726696fc3	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_E2_v1_rr2.wav	Woodwinds/Bassoon/stac/PSBassoon_E2_v1_rr2.wav	31163aaed492a2ba4dd61d378ff27f76850a998e	52ae5924041fcd8ee9e58b9f2d091c0a8f26639c728b879d05409f8e648c9bdb	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_E2_v2_rr1.wav	Woodwinds/Bassoon/stac/PSBassoon_E2_v2_rr1.wav	cd2fbaee22fc1b7f4564a6362163cadee36dd4fb	5ddb4c3f0f61b5efe182c776fa1d27305c41855a175d5309064f9c030b7ae5a1	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_E2_v2_rr2.wav	Woodwinds/Bassoon/stac/PSBassoon_E2_v2_rr2.wav	02536f5989e5c71b190f001a0b0cfa3ef511e723	53016d7afd148411b236b592e1f626d246f03f4a6843eef6bd82cbc76b7aa70a	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_E3_v1_rr1.wav	Woodwinds/Bassoon/stac/PSBassoon_E3_v1_rr1.wav	cf0656d519a542051f1e831ae0945ba8d25b4fb9	a6d04b47f0414d83f9fa1427ab068d814fbed208567ce838aa5357f587a53fa8	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_E3_v1_rr2.wav	Woodwinds/Bassoon/stac/PSBassoon_E3_v1_rr2.wav	a5e302a1facb78a5353001c5ea033a6a8f738229	87b483af47c13c8a738ee986b078f6e8f5c9fe0518eb46ea9ce80d8566ceb511	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_E3_v2_rr1.wav	Woodwinds/Bassoon/stac/PSBassoon_E3_v2_rr1.wav	074cd8414e2c0fa7d55176d2ac3cc2fb5c8552e5	e71165d38d17045428d1d4bbc5e0ef7a1ee483dd1a806cd4be48eb8dcf6aee15	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_E3_v2_rr2.wav	Woodwinds/Bassoon/stac/PSBassoon_E3_v2_rr2.wav	eccb61086fa0f4b5e4d61a0f2aef5a5f1bfd5a6c	cbaabdcaf70c6aced9353f097d4575cb4351ce2a85d0363000db0d275d412ad4	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_F1_v1_1.wav	Woodwinds/Bassoon/sus/PSBassoon_F1_v1_1.wav	ef632d2b0dc9970afb62c5945413d4da628883fb	608e46b7b18cee5ebfe6a8d385eb57038cc3ef89f408c1448ded53e1cc123a29	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_F1_v1_rr1.wav	Woodwinds/Bassoon/stac/PSBassoon_F1_v1_rr1.wav	538154e1284a919b92d040da9903f464bc65a82f	8ee13b9bb1283d7d29f61e809621093eaf47ed52a2e5ff695ff6617a22042ce7	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_F1_v1_rr2.wav	Woodwinds/Bassoon/stac/PSBassoon_F1_v1_rr2.wav	080ccf5bb02b67b5469740d216d4bfc93be8824c	06ec8f77c8ac5887f2befc1ac3be2fe2576e78582202e856e910a34f9047518d	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_F1_v2_1.wav	Woodwinds/Bassoon/sus/PSBassoon_F1_v2_1.wav	6b6c81a47d6e77853dd711a471e97ee631ae7f78	e510329bca3889d1a6e826f4ca1644c8347567e1dcc751eee6f6a2143935d0bc	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_F1_v2_rr1.wav	Woodwinds/Bassoon/stac/PSBassoon_F1_v2_rr1.wav	5c48832f84e3a49419ab17814f0caf276030725f	be631f5eb2d0580cdc24d40ee401b17ba1dccf57f50293cc68a7049ba9d68a2a	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_F1_v2_rr2.wav	Woodwinds/Bassoon/stac/PSBassoon_F1_v2_rr2.wav	6a672091b73d543124f48c782749fbda6f0d8872	71fc83066512ff4e4ba2555bde8c06e33726da30be2776831e1bf2574b3e5056	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_G#3_v1_1.wav	Woodwinds/Bassoon/sus/PSBassoon_G#3_v1_1.wav	9d5e0ac1c1fafd0b650e249a3fc799b9685b4d38	64cb998236ef9ae04c8a3d6048db551f1f1e02918ffc4a60db163193ab9da10f	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_G#3_v2_1.wav	Woodwinds/Bassoon/sus/PSBassoon_G#3_v2_1.wav	c88e1744e0298c353479a08c607fe13469cef2b6	0fdc30b08b1836e444c0f6f6bc2bec485973c28d4bfeb110572038777558984a	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_G2_v1_1.wav	Woodwinds/Bassoon/sus/PSBassoon_G2_v1_1.wav	1802d35ea36b486169050595296b758b41b3bfc7	ab779b251e22d0e39dfacd9b760d032ab9c3381eda89c86236c28ae14cfbfcf4	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_G2_v1_rr1.wav	Woodwinds/Bassoon/stac/PSBassoon_G2_v1_rr1.wav	4cabb830d1d6595fd57f88c214cb19fa061215d3	0d339309b43f78279c1aedb729c596b33c5a6324b45441acb76f893983b64ae2	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_G2_v1_rr2.wav	Woodwinds/Bassoon/stac/PSBassoon_G2_v1_rr2.wav	4ff26462048d34fffc00bb77a6bec6e4b1df6085	05b4bf16ae8228d80140c3b91096c8b75c9288984524c1fe05b75ebccd938e29	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_G2_v2_1.wav	Woodwinds/Bassoon/sus/PSBassoon_G2_v2_1.wav	95a39a3c70c033e7167792f0e9d7f592a252044f	74f59f6ad00584ed709b16c58769f099b64e4886c3af1bb74f2626719611f35c	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_G2_v2_rr1.wav	Woodwinds/Bassoon/stac/PSBassoon_G2_v2_rr1.wav	5d238aedb1eeec47fb0831eb44a9c01400d9aa38	6a3d8c9da12bcc181093047ca0c0420caa8aac014da916b69447b88ada44021a	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_G2_v2_rr2.wav	Woodwinds/Bassoon/stac/PSBassoon_G2_v2_rr2.wav	fd2ed32fbf198d0f279d6de73bb81eb64e5966d6	a366c8532ce92b7d50ca395c8318bf408d02419cbfe85579ece832e03f7da5e6	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_G3_v1_rr1.wav	Woodwinds/Bassoon/stac/PSBassoon_G3_v1_rr1.wav	62cc463dd7e17de25cf8ba47252fbe165e458f47	efbc0a901db97648f1b8eaa01693f571d1d65638c06ea594a6d3966e2abd498b	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_G3_v1_rr2.wav	Woodwinds/Bassoon/stac/PSBassoon_G3_v1_rr2.wav	a41a94c33ba537f1025f0772dcc9b8fc80b68ef4	542c1c6e7e91f84c65172011012006c596cadfa30cc23fa2c4ff636eca28492d	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_G3_v2_rr1.wav	Woodwinds/Bassoon/stac/PSBassoon_G3_v2_rr1.wav	70a76ab5128efc3d23beb138fa8cf7d7b3fb7fea	d2a891d880fa2d026c24dcf08c27a722622db8d5460164e395af130dceefd4c1	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_G3_v2_rr2.wav	Woodwinds/Bassoon/stac/PSBassoon_G3_v2_rr2.wav	23158586d9c8cc62e9dc450a3856451fa7f010bc	a0ffa0d7be64b8f7390eba543178c4f5272e732ec241fc77ab44ae4b5e8b0210	CC0-1.0
sample	public/samples/levain/cello/pizzT_A2_v1_RR1.wav	Strings/Cello Section/pizzT/pizzT_A2_v1_RR1.wav	3e1fec71b531697030215d70a51889260324a225	3ef328e9c07e58797bb65831edef89b1fc946013a736826b6e380776c91b1f83	CC0-1.0
sample	public/samples/levain/cello/pizzT_A2_v1_RR2.wav	Strings/Cello Section/pizzT/pizzT_A2_v1_RR2.wav	2f0d3adf6cad8227f6c340d71a9b5597dfa6f319	819d73e9b58d28c3d3888ed566fa9802b3cb6bf5cdd314931ddeafa529ba1408	CC0-1.0
sample	public/samples/levain/cello/pizzT_A2_v2_RR1.wav	Strings/Cello Section/pizzT/pizzT_A2_v2_RR1.wav	72e0f0d5d328ff59c7b0227a451c1a226b892265	187df4d1d5621877d32cbfb3d174dcacb85aa59caf3359d9ce398bec4f7ccf56	CC0-1.0
sample	public/samples/levain/cello/pizzT_A2_v2_RR2.wav	Strings/Cello Section/pizzT/pizzT_A2_v2_RR2.wav	fa1956ce30140cf95d335c16a5d8986b53751c8e	b297e7396e6b5a327a069c8eaa378a2a1c7ce4dd3da7ba3fbc5f3c66c07e16d1	CC0-1.0
sample	public/samples/levain/cello/pizzT_B1_v1_RR1.wav	Strings/Cello Section/pizzT/pizzT_B1_v1_RR1.wav	a77d940699042d211e6e329d2331d95ca76842c8	33bbfc9664e8536e8931fba5c53ab4e06abeb6f75fc3b6186bcdb159d6000604	CC0-1.0
sample	public/samples/levain/cello/pizzT_B1_v1_RR2.wav	Strings/Cello Section/pizzT/pizzT_B1_v1_RR2.wav	2ac3786f8de7fa92086cf2620d4acf0be60c0ae9	197600ab555da6f29b368b898a089f7b8d79f9a6b7388ff3fe86560ad9ca6186	CC0-1.0
